INFO    ,Place North
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-3.574219,33.707812
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-6.969727,34.245703
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-10.722656,33.707812
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-12.867188,29.763281
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.015625,24.025781
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-20.551758,22.412109
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-19.122070,18.467578
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-12.688477,11.654297
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.684570,7.709766
DEBUG   ,-7.327148,4.841016
DEBUG   ,-7.327148,4.841016
DEBUG   ,-7.327148,4.841016
