Test 1,,,,,Test 2,,,
,,,,,,,,
X Raw,Y Raw,,,,X Raw,Y Raw,,
16.262695,21.336328,15.73596842,20.958861,,0.178711,45.003516,,
,,,,,1.250977,45.003516,,
,,,,,0.178711,43.569141,,
,,,,,1.072266,44.107031,,
,,,,,0.536133,43.210547,,
,,,,,-0.893555,45.003516,,
,,,,,1.250977,48.589453,Upsidedown East,
,,,,,0.178711,48.230859,X Average,Y Average
,,,,,-0.357422,49.485937,0.377278778,45.80039067
,,,,,-8.935547,44.824219,x,x
,,,,,-16.262695,42.134766,x,x
,,,,,-19.836914,24.205078,x,x
,,,,,-20.551758,23.846484,,
,,,,,-21.445312,24.384375,,
,,,,,-20.730469,24.384375,,
,,,,,-21.445312,24.742969,,
,,,,,-20.194336,23.487891,,
,,,,,-20.551758,23.487891,,
,,,,,-21.981445,24.205078,,
,,,,,-20.015625,28.6875,Upsidedown West,
,,,,,-19.479492,25.998047,X Average,Y Average
,,,,,-17.513672,25.81875,-20.3909179,24.904336
,,,,,-14.654297,27.970312,x,x
,,,,,-17.871094,24.025781,x,x
,,,,,-21.624023,13.088672,x,x
,,,,,-11.080078,2.510156,x,x
,,,,,0.536133,0.537891,x,x
,,,,,0.893555,2.689453,,
,,,,,1.250977,2.330859,,
,,,,,1.429688,3.585938,,
,,,,,2.144531,4.303125,,
,,,,,0.893555,2.689453,,
,,,,,1.787109,3.227344,,
,,,,,2.323242,2.689453,,
,,,,,1.787109,2.86875,,
,,,,,0.536133,3.048047,Upsidedown West,
,,,,,1.250977,3.406641,X Average,Y Average
,,,,,-1.250977,3.406641,1.185990818,3.113245818
,,,,,-23.768555,1.972266,x,x
,,,,,-28.057617,13.447266,x,x
,,,,,-15.19043,17.033203,x,x
,,,,,-0.536133,23.846484,x,x
,,,,,13.40332,25.998047,x,x
,,,,,19.479492,26.356641,x,x
,,,,,17.513672,25.460156,North,
,,,,,16.977539,24.563672,X Average,Y Average
,,,,,17.334961,25.998047,17.27539067,25.340625
