Test 1,,,,,,Test 2,,,,,,Test 3,,,,,,,
,,,,,,,,,,,,,,,,,,,
X Raw,Y Raw,,,Sum1,,X Raw,Y Raw,,,Sum2,,X Raw,Y Raw,,,Sum3,,,
-22.875,19.005469,,,-41.880469,,-21.802734,15.060937,,,-36.863671,,-22.338867,23.846484,,,-46.185351,,,
-21.624023,19.901953,,,-41.525976,,-21.981445,17.391797,,,-39.373242,,-21.981445,22.053516,,,-44.034961,,,
-21.802734,20.08125,,,-41.883984,,-22.160156,15.419531,,,-37.579687,,-20.730469,23.667188,,,-44.397657,,,
-21.266602,19.184766,,,-40.451368,,-21.981445,15.957422,,,-37.938867,,-21.087891,22.232812,,,-43.320703,,,
-20.730469,19.005469,,,-39.735938,,-22.338867,15.957422,,,-38.296289,,-21.802734,25.460156,,,-47.26289,,,
-19.658203,18.646875,,,-38.305078,,-21.266602,15.598828,,,-36.86543,,-21.266602,22.770703,,,-44.037305,,,
-21.981445,19.543359,,,-41.524804,,-21.266602,15.598828,,,-36.86543,,-21.445312,22.95,,,-44.395312,,,
-21.445312,20.08125,,,-41.526562,,-21.087891,16.136719,,,-37.22461,,-20.90918,22.770703,,,-43.679883,,,
-21.266602,20.619141,,,-41.885743,,-21.266602,15.957422,,,-37.224024,,-21.802734,24.025781,,,-45.828515,,,
-21.802734,19.364062,,,-41.166796,,-21.087891,15.060937,,,-36.148828,,-21.981445,23.846484,,,-45.827929,,,
-22.517578,19.722656,South,,-42.240234,,-21.445312,16.853906,South,,-38.299218,,-21.266602,23.487891,,,-44.754493,,,
-21.087891,18.646875,X Avg,Y Avg,-39.734766,,-22.338867,15.957422,X Average,Y Average,-38.296289,,-22.517578,22.591406,,,-45.108984,,,
-22.160156,20.439844,-21.5436035,19.731621,-42.6,,-20.015625,17.571094,-21.51679685,15.99328125,-37.586719,,-21.445312,24.384375,,,-45.829687,,Mean X,Mean Y
-21.5436035,19.731621,,,-41.2752245,,-21.51679685,15.99328125,,,-37.5100781,,-21.266602,24.922266,South,,-46.188868,,-21.57701465,19.71680959
-21.5436035,19.731621,,,-41.2752245,,-21.51679685,15.99328125,,,-37.5100781,,-22.160156,24.742969,X Avg,Y Avg,-46.903125,,STDEV X,STDEV Y
-21.5436035,19.731621,,,-41.2752245,,-21.51679685,15.99328125,,,-37.5100781,,-22.696289,24.922266,-21.67064361,23.42552652,-47.618555,,0.60909672,3.165211574
-19.12207,20.619141,x,x,-39.741211,,-20.730469,22.591406,x,x,-43.321875,,-21.266602,34.245703,x,x,-55.512305,,,
-18.943359,24.384375,x,x,-43.327734,,-7.505859,34.783594,x,x,-42.289453,,-9.650391,39.086719,x,x,-48.73711,,,
-15.905273,36.755859,x,x,-52.661132,,-8.399414,39.624609,x,x,-48.024023,,-2.680664,41.417578,x,x,-44.098242,,,
-3.395508,37.114453,,,-40.509961,,-5.361328,39.086719,,,-44.448047,,-8.220703,41.596875,,,-49.817578,,,
-2.859375,40.879687,,,-43.739062,,-5.182617,40.700391,,,-45.883008,,-8.756836,42.851953,,,-51.608789,,,
-1.96582,40.341797,,,-42.307617,,-5.540039,40.341797,,,-45.881836,,-9.114258,42.851953,,,-51.966211,,,
-3.574219,40.521094,,,-44.095313,,-6.791016,41.596875,,,-48.387891,,-8.399414,42.493359,,,-50.892773,,,
-4.110352,41.417578,,,-45.52793,,-5.897461,40.700391,,,-46.597852,,-10.186523,42.134766,,,-52.321289,,,
-2.680664,41.417578,,,-44.098242,,-5.182617,42.851953,,,-48.03457,,-8.220703,43.389844,,,-51.610547,,,
-3.574219,40.879687,,,-44.453906,,-6.076172,42.672656,,,-48.748828,,-5.897461,44.286328,,,-50.183789,,,
-4.825195,40.341797,,,-45.166992,,-7.148438,41.596875,,,-48.745313,,-4.289062,43.03125,,,-47.320312,,,
-3.931641,40.1625,,,-44.094141,,-4.289062,41.955469,,,-46.244531,,-4.467773,43.927734,,,-48.395507,,,
-2.680664,39.983203,,,-42.663867,,-4.825195,41.417578,,,-46.242773,,-2.501953,44.107031,,,-46.608984,,,
-3.038086,41.417578,,,-44.455664,,-6.076172,42.314062,,,-48.390234,,-4.467773,43.927734,,,-48.395507,,,
-3.395508,41.776172,,,-45.17168,,-4.825195,42.851953,,,-47.677148,,-5.182617,43.569141,,,-48.751758,,,
-1.072266,40.1625,,,-41.234766,,-5.361328,40.879687,West,,-46.241015,,-4.289062,44.107031,West,,-48.396093,,,
-2.680664,41.417578,,,-44.098242,,-6.612305,41.417578,X Average,Y Average,-48.029883,,-5.003906,42.314062,X Avg,Y Avg,-47.317968,,,
-2.323242,40.700391,,,-43.023633,,-6.969727,40.341797,-5.742578133,41.38171873,-47.311524,,-6.969727,43.927734,-6.3978514,43.234453,-50.897461,,,
-2.144531,40.521094,,,-42.665625,,-5.742578133,41.38171873,,,-47.12429686,,-6.3978514,43.234453,,,-49.6323044,,,
-1.96582,39.983203,,,-41.949023,,-5.742578133,41.38171873,,,-47.12429686,,-6.3978514,43.234453,,,-49.6323044,,,
-3.038086,42.493359,,,-45.531445,,-5.742578133,41.38171873,,,-47.12429686,,-6.3978514,43.234453,,,-49.6323044,,Mean X,Mean Y
-1.608398,42.134766,West,,-43.743164,,-5.742578133,41.38171873,,,-47.12429686,,-6.3978514,43.234453,,,-49.6323044,,-5.002771527,41.78357137
-2.144531,41.596875,X Avg,Y Avg,-43.741406,,-5.742578133,41.38171873,,,-47.12429686,,-6.3978514,43.234453,,,-49.6323044,,STDEV X,STDEV Y
-3.216797,40.1625,-2.867885048,40.73454238,-43.379297,,-5.742578133,41.38171873,,,-47.12429686,,-6.3978514,43.234453,,,-49.6323044,,2.000051791,1.396058886
-8.220703,39.445312,x,x,-47.666015,,-3.75293,41.776172,x,x,-45.529102,,-6.612305,43.927734,x,x,-50.540039,,,
-21.087891,24.384375,x,x,-45.472266,,-0.357422,41.238281,x,x,-41.595703,,0,49.127344,x,x,-49.127344,,,
-2.501953,4.303125,x,x,-6.805078,,15.011719,27.970312,x,x,-12.958593,,17.15625,33.349219,x,x,-16.192969,,,
-3.395508,-0.179297,x,x,-3.216211,,16.083984,24.384375,x,x,-8.300391,,15.726562,21.157031,x,x,-5.430469,,,
14.118164,8.068359,x,x,6.049805,,17.334961,24.922266,x,x,-7.587305,,14.833008,27.073828,x,x,-12.24082,,,
17.692383,19.543359,,,-1.850976,,19.12207,27.073828,,,-7.951758,,16.977539,26.715234,,,-9.737695,,,
17.513672,21.515625,,,-4.001953,,19.479492,26.715234,,,-7.235742,,18.585938,26.177344,,,-7.591406,,,
14.654297,21.874219,,,-7.219922,,19.300781,25.81875,,,-6.517969,,16.620117,27.073828,,,-10.453711,,,
15.726562,21.157031,,,-5.430469,,20.551758,26.356641,,,-5.804883,,17.15625,25.81875,,,-8.6625,,,
16.620117,20.260547,,,-3.64043,,18.228516,26.177344,,,-7.948828,,16.798828,25.460156,,,-8.661328,,,
14.654297,19.722656,,,-5.068359,,19.12207,26.356641,,,-7.234571,,17.334961,26.356641,,,-9.02168,,,
14.654297,22.232812,,,-7.578515,,18.228516,26.177344,,,-7.948828,,15.905273,26.356641,,,-10.451368,,,
